nr,filename,name,type,tapered_type,shape,shape_type,exact_stock_shape,diameter_mm,cutting_edge_height_mm,length_mm,shank_diameter_mm,flutes,angle_half_deg,included_angle_deg,tip_diameter_mm,tip_radius_mm,drill_point_angle_deg,product_id,description
45,3.175mm_Flat_End_SR10A.fctb,3.175mm Flat End [SR10A],flat end mill,,endmill.fcstd,Endmill,True,3.175,17.0,38,3.175,2,,,,,,SR10A,"Genmitsu flat end straight [SR10A], Nano Blue Coat"
46,6.350mm_Flat_End_SR05A.fctb,6.350mm Flat End [SR05A],flat end mill,,endmill.fcstd,Endmill,True,6.35,24.0,55,6.35,2,,,,,,SR05A,"Genmitsu flat end straight [SR05A], Nano Blue Coat"
47,1.580mm_Flat_End_SR03A.fctb,1.580mm Flat End [SR03A],flat end mill,,endmill.fcstd,Endmill,True,1.58,8.0,50,6.35,1,,,,,,SR03A,Genmitsu flat end straight [SR03A]
48,3.175mm_Flat_End_SR03A.fctb,3.175mm Flat End [SR03A],flat end mill,,endmill.fcstd,Endmill,True,3.175,12.0,50,6.35,1,,,,,,SR03A,Genmitsu flat end straight [SR03A]
49,3.175mm_Flat_End_SR03A_2.fctb,3.175mm Flat End [SR03A],flat end mill,,endmill.fcstd,Endmill,True,3.175,12.0,50,6.35,2,,,,,,SR03A,Genmitsu flat end straight [SR03A]
50,5.000mm_Flat_End_SN06A.fctb,5.000mm Flat End [SN06A],flat end mill,,endmill.fcstd,Endmill,True,5.0,15.0,50,6.35,3,,,,,,SN06A,"Genmitsu flat end [SN06A], Nano Blue Coat"
51,6.000mm_Flat_End_SN06A.fctb,6.000mm Flat End [SN06A],flat end mill,,endmill.fcstd,Endmill,True,6.0,20.0,50,6.35,3,,,,,,SN06A,"Genmitsu flat end [SN06A], Nano Blue Coat"
52,3.175mm_Flat_End_SD06A_N2LXD3.22.fctb,3.175mm Flat End [SD06A (N2LXD3.22)],flat end mill,,endmill.fcstd,Endmill,True,3.175,22.0,55,3.175,2,,,,,,SD06A (N2LXD3.22),"Genmitsu flat end downcut [SD06A (N2LXD3.22)], Nano Blue Coat"
53,3.175mm_Flat_End_SD06A_N2LXD3.17.fctb,3.175mm Flat End [SD06A (N2LXD3.17)],flat end mill,,endmill.fcstd,Endmill,True,3.175,17.0,45,3.175,2,,,,,,SD06A (N2LXD3.17),"Genmitsu flat end downcut [SD06A (N2LXD3.17)], Nano Blue Coat"
54,3.175mm_Flat_End_SD06A_N2LXD3.15.fctb,3.175mm Flat End [SD06A (N2LXD3.15)],flat end mill,,endmill.fcstd,Endmill,True,3.175,15.0,45,3.175,2,,,,,,SD06A (N2LXD3.15),"Genmitsu flat end downcut [SD06A (N2LXD3.15)], Nano Blue Coat"
55,3.175mm_Flat_End_SD06A_N2LXD3.12.fctb,3.175mm Flat End [SD06A (N2LXD3.12)],flat end mill,,endmill.fcstd,Endmill,True,3.175,12.0,40,3.175,2,,,,,,SD06A (N2LXD3.12),"Genmitsu flat end downcut [SD06A (N2LXD3.12)], Nano Blue Coat"
56,3.175mm_Flat_End_SD06A_N2LXD3.10.fctb,3.175mm Flat End [SD06A (N2LXD3.10)],flat end mill,,endmill.fcstd,Endmill,True,3.175,10.0,40,3.175,2,,,,,,SD06A (N2LXD3.10),"Genmitsu flat end downcut [SD06A (N2LXD3.10)], Nano Blue Coat"
57,3.175mm_Flat_End_SD06A_N2LXD3.08.fctb,3.175mm Flat End [SD06A (N2LXD3.08)],flat end mill,,endmill.fcstd,Endmill,True,3.175,8.0,40,3.175,2,,,,,,SD06A (N2LXD3.08),"Genmitsu flat end downcut [SD06A (N2LXD3.08)], Nano Blue Coat"
58,6.350mm_Flat_End_SD03A.fctb,6.350mm Flat End [SD03A],flat end mill,,endmill.fcstd,Endmill,True,6.35,12.0,50,6.35,1,,,,,,SD03A,"Genmitsu flat end downcut [SD03A], Nano Blue Coat"
59,6.350mm_Flat_End_SD03A_2.fctb,6.350mm Flat End [SD03A],flat end mill,,endmill.fcstd,Endmill,True,6.35,17.0,50,6.35,1,,,,,,SD03A,"Genmitsu flat end downcut [SD03A], Nano Blue Coat"
60,6.350mm_Flat_End_SD03A_3.fctb,6.350mm Flat End [SD03A],flat end mill,,endmill.fcstd,Endmill,True,6.35,22.0,55,6.35,1,,,,,,SD03A,"Genmitsu flat end downcut [SD03A], Nano Blue Coat"
